Tipo,Município Beneficiado,Proponente,Tipo,Data de seleção,Previsto até e pós 2010,Estágio
Saneamento,Caieiras,Sabesp,"Ampliação do SES - Sistema Isolado Extremo Norte - ETE Caieras, rede coletora de esgotos e interceptores",1/8/2010," R$ 30.000.000,00 ",Ação Preparatória
Saneamento,Caieiras,Essencis Soluções Ambientais s/A,Resíduos Sólidos - ampliação de aterro sanitário e obras de melhorias operacionais da Central de Tratamento de Resíduos Caieiras,dez/08," R$ 19.068.400,00 ",Concluída
Saneamento,Campinas,Sanasa,Ampliação do SES - implantação da ETE Boa Vista na margem esquerda do Córrego Boa Vista,set/09," R$ 36.506.500,00 ",Em Contratação
Saneamento,Campinas,Município,Drenagem - execução de canais e reservatórios de amortecimento,6/9/2010," R$ 37.936.400,00 ",Ação Preparatória
Saneamento,Campinas,Município,"Implantação de SES Capivari II - ligações domiciliares, redes coletoras, emissários, estações elevatórias e ETE",1/8/2010," R$ 73.648.900,00 ",Em Obra
Saneamento,Campinas,Sanasa s/A,Implantação do SES na sede municipal - rede e tratamento na Bacia do Rio Capivari,6/8/2010," R$ 51.115.400,00 ",Concluída
Saneamento,Campinas,Município,Resíduos Sólidos - construção e equipamentos para galpões de triagem para catadores,ago/08," R$ 2.864.900,00 ",Ação Preparatória
Saneamento,Campinas,Município,Saneamento integrado e urbanização - bairros do entorno do aeroporto de Viracopos,6/7/2010," R$ 77.223.200,00 ",Em Obra
Saneamento,Campinas,Município,Saneamento integrado e urbanização - Ribeirão Anhumas,6/7/2010," R$ 37.639.800,00 ",Em Obra
Saneamento,Caraguatatuba,Sabesp,Desenvolvimento Institucional - projeto para desenvolvimento e melhoria operacional da Unidade de Negócio Litoral Norte,fev/07," R$ 44.226.800,00 ",Em Execução
Saneamento,Carapicuíba,Sabesp,Ampliação do SAA nos Bairros: Ana Estela Vila Bocaina Vila Dirce Vila Santa Catarina Jardim Santa Rita Jardim Novo Horizonte Jardim Santa Terezinha -  de distribuição e de ligações de águaredes,1/8/2010," R$ 1.002.000,00 ",Em Obra
Saneamento,Carapicuíba,Município,Drenagem - canalização do Córrego Cadaval,6/9/2010," R$ 11.634.700,00 ",Ação Preparatória
Saneamento,Carapicuíba,Município,Drenagem - complementação do programa de sistema de drenagem de águas pluviais do Córrego Cadaval,6/9/2010," R$ 22.889.700,00 ",Ação Preparatória
Saneamento,Carapicuíba,Município,Saneamento integrado e urbanização - Córrego Cadaval,6/7/2010," R$ 46.069.100,00 ",Em Obra
Saneamento,Catanduva,Município,Ampliação do SES na Bacia do Rio São Domingos,1/8/2010," R$ 12.000.000,00 ",Ação Preparatória
Saneamento,Catiguá,Sabesp,"Ampliação do SES na sede municipal - ETE, estação elevatória de esgotos e coletor-tronco",fev/07," R$ 5.680.100,00 ",Em Obra
Saneamento,Conchas,Sabesp,Ampliação do SES na sede municipal,fev/07," R$ 11.668.500,00 ",Em Obra
Saneamento,Cosmópolis,Município,Ampliação do SAA - ETA Pirangui,6/7/2010," R$ 788.400,00 ",Concluída
Saneamento,Cosmópolis,Município,Ampliação do SAA no centro do município - rede tronco de água tratada e rede mestre de água tratada,6/7/2010," R$ 332.300,00 ",Concluída
Saneamento,Cosmópolis,Município,Implantação de adutora de água tratada - Rua Sete de Abril - Centro,6/7/2010," R$ 242.500,00 ",Concluída
Saneamento,Cosmópolis,Município,Implantação do SAA na Rua Monte Castelo - Centro - reservatório de água tratada,6/7/2010," R$ 552.600,00 ",Concluída
Saneamento,Cotia,Sabesp,Ampliação do SES- sistema isolado Jardim das Oliveiras - redes coletoras e ETE,1/8/2010," R$ 1.700.000,00 ",Ação Preparatória
Saneamento,Cotia,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 327.900,00 ",Ação Preparatória
Saneamento,Cubatão,Sabesp,"Ampliação do SAA - ETA 3 - caixas de areia, canal de água filtrada, reforma de floculadores e adequação dos filtros",1/8/2010," R$ 10.000.000,00 ",Em Obra
Saneamento,Cubatão,Sabesp,Ampliação do SES - Vila São José e Vila Elizabeth,1/8/2010," R$ 3.657.200,00 ",Ação Preparatória
Saneamento,Cubatão,Sabesp,Ampliação do SES - rede coletora e ligações de esgoto - Bairro Vila Nova,1/8/2010," R$ 8.030.300,00 ",Ação Preparatória
Saneamento,Cubatão,Sabesp,Ampliação do SES da sede municipal - Sistema Sul-Casqueiro,set/09," R$ 60.481.500,00 ",Em Contratação
Saneamento,Cubatão,Sabesp,Implantação do SES e SAA - Bolsão 9 - sede municipal,1/8/2010," R$ 919.500,00 ",Em licitação da obra
Saneamento,Cubatão,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 332.700,00 ",Ação Preparatória
Saneamento,Cubatão,Sabesp,Saneamento integrado e urbanização - implantação dos sistemas de abastecimento de água e de esgotamento sanitário - Vila Esperança,1/8/2010," R$ 5.000.000,00 ",Ação Preparatória
Saneamento,Cubatão,Sabesp,Saneamento integrado e urbanização - implantação dos sistemas de abastecimento de água e de esgotamento sanitário,1/8/2010," R$ 21.783.800,00 ",Ação Preparatória
Saneamento,Diadema,Município,Ampliação do SAA - construção de adutora e do centro de reservação do Bairro Eldorado,6/7/2010," R$ 5.680.900,00 ",Em Obra
Saneamento,Diadema,Município,Ampliação do SAA na sede municipal - troca de hidrômetros,6/7/2010," R$ 4.995.000,00 ",Em Obra
Saneamento,Diadema,Município,"Ampliação e melhoria do SAA da região norte da cidade de Diadema, e setorização das áreas Campanário, Taboão e Canhema",6/7/2010," R$ 2.171.000,00 ",Em Obra
Saneamento,Diadema,Município,Desenvolvimento Institucional - ações de estruturação da gestão dos serviços de saneamento e de melhorias para a gestão e para o desempenho técnico-operacional da Companhia de Saneamento de Diadema,dez/08," R$ 6.260.600,00 ",Em licitação da obra
Saneamento,Diadema,Município,Drenagem na sede municipal - Ribeirão dos Couros,1/8/2010," R$ 3.463.100,00 ",Ação Preparatória
Saneamento,Diadema,Município,Drenagem no Córrego dos Monteiros - sede municipal,1/8/2010," R$ 13.109.700,00 ",Ação Preparatória
Saneamento,Diadema,Município,Implantação de adutora de interligação do reservatório Jardim das Nações ao Parque Real Ampliação,6/7/2010," R$ 8.421.900,00 ",Em Obra
Saneamento,Diadema,Município,Implantação de coletor-tronco Curral Canhema sede municipal,6/7/2010," R$ 925.900,00 ",Em Obra
Saneamento,Diadema,Município,Implantação de coletor-tronco no Córrego de Curral Grande,6/7/2010," R$ 4.240.900,00 ",Em Obra
Saneamento,Diadema,Município,Implantação de redes coletoras de esgotos na sede municipal,6/7/2010," R$ 5.141.100,00 ",Em Obra
Saneamento,Diadema,Município,Implantação do coletor-tronco no Córrego de Monteiros e de núcleos habitacionais na sede municipal,6/7/2010," R$ 2.154.000,00 ",Em Obra
Saneamento,Diadema,Município,Melhorias no SAA na sede municipal - implantação de setorização voltado ao controle de pressão nas redes de distribuição,6/7/2010," R$ 5.091.400,00 ",Em Obra
Saneamento,Diadema,Município,Resíduos Sólidos - construção de unidade de transbordo de lixo,1/8/2010," R$ 3.850.000,00 ",Ação Preparatória
Saneamento,Diadema,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 327.900,00 ",Ação Preparatória
Saneamento,Diadema,Município,Resíduos Sólidos - implantação de centrais de recebimento e triagem de recicláveis,1/8/2010," R$ 4.900.000,00 ",Ação Preparatória
Saneamento,Diadema,Município,Saneamento integrado e urbanização - Sistema Billings - Eldorado / Complexo Caviúna,6/7/2010," R$ 34.674.000,00 ",Ação Preparatória
Saneamento,Duartina,Sabesp,"Ampliação do SES na sede municipal - ETE, estação elevatória de esgotos, coletor-tronco e emissário de recalque",fev/07," R$ 10.066.200,00 ",Em Obra
Saneamento,Embu das Artes,Município,"Drenagem - implantação de galerias e canalização dos córregos das Ruas Bertioga, Carazinho, Iguaçu, Maringá, Santos Dumont e do Bairro Santa Tereza",6/9/2010," R$ 23.652.300,00 ",Em Contratação
Saneamento,Embu,Sabesp,Ampliação do SES - instalação do coletor-tronco Pirajussara,1/8/2010," R$ 9.700.000,00 ",Ação Preparatória
Saneamento,Embu,Município,"Drenagem - urbanização dos entornos aos cursos d’água dos córregos João Cachoeira, Jardim Castilho e Valo Verde",fev/07," R$ 20.000.000,00 ",Em Obra
Saneamento,Embu,Município,Resíduos Sólidos - construção e equipamentos para galpões de triagem para catadores,ago/08," R$ 654.400,00 ",Em licitação da obra
Saneamento,Embu,Município,"Saneamento integrado e urbanização - Complexo Rua das Pombas, Botucatu",6/7/2010," R$ 14.199.400,00 ",Em Obra
Saneamento,Embu,Município,"Saneamento integrado, urbanização e proteção de mananciais - Jardim do Colégio, Jardim dos Morais, Jardim da Luz, São Francisco - Guarapiranga",6/7/2010," R$ 40.416.100,00 ",Em Obra
Saneamento,Ferraz de Vasconcelos,Sabesp,Ampliação do SES - sede municipal,1/8/2010," R$ 1.471.600,00 ",Em Obra
Saneamento,Ferraz de Vasconcelos,Município,Drenagem - execução de obras de drenagem no Córrego Ribeirão Itaim,6/9/2010," R$ 10.096.400,00 ",Ação Preparatória
Saneamento,Ferraz de Vasconcelos,Município,"Saneamento integrado e urbanização - Céu II, Jardim Juliano, Vila Mariana, Jardim Castelo",6/7/2010," R$ 30.274.400,00 ",Em Obra
Saneamento,Francisco Morato,Sabesp,Ampliação do SAA - adequação da setorização - Jardim Liliane,1/8/2010," R$ 6.200.000,00 ",Ação Preparatória
Saneamento,Francisco Morato,Sabesp,Ampliação do SES - Sistema Isolado Extremo Norte - ETE Água Vermelha e rede coletora,1/8/2010," R$ 30.000.000,00 ",Ação Preparatória
Saneamento,Francisco Morato,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 419.900,00 ",Ação Preparatória
Saneamento,Franco da Rocha,Sabesp,"Ampliação do SES - Sistema Isolado Extremo Norte - ETE Franco da Rocha, rede coletora de esgotos e interceptores",1/8/2010," R$ 30.000.000,00 ",Ação Preparatória
Saneamento,Franco da Rocha,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 247.400,00 ",Ação Preparatória
Saneamento,Guararema,Município,Drenagem - canalização do Córrego Ipiranga e obras complementares,fev/07," R$ 20.548.800,00 ",Em Obra
Saneamento,Guarujá,Sabesp,Ampliação do SAA - ETA Sistema Produtor Jurubatuba/Jurubatuba-Mirim,fev/07," R$ 76.838.700,00 ",Em Obra
Saneamento,Guarujá,Sabesp,"Ampliação do SES - bairros Morrinhos e Loteamentos Jardim Brasil I e II, Jardim Bela Vida I e II, Vitória Park e Parque da Montanha",1/8/2010," R$ 4.078.000,00 ",Em Obra
Saneamento,Guarujá,Sabesp,Ampliação do SES - bairros Santa Rosa e Vila Ligia,1/8/2010," R$ 8.148.200,00 ",Em licitação da obra
Saneamento,Guarujá,Sabesp,Ampliação do SES - Distrito de Vicente de Carvalho,set/09," R$ 106.445.200,00 ",Em Contratação
Saneamento,Guarujá,Sabesp,Implantação do SES - Favela Porto Cidade - Bairro Parque da Montanha,1/8/2010," R$ 2.595.200,00 ",Em licitação da obra
Saneamento,Guarujá,Sabesp,Implantação do SES - rede coletora de esgoto - Bairro Vila Zilda,1/8/2010," R$ 1.161.600,00 ",Ação Preparatória
Saneamento,Guarujá,Sabesp,Implantação do SES - Bairro Santa Cruz dos Navegantes,1/8/2010," R$ 4.155.600,00 ",Concluída
Saneamento,Guarujá,Sabesp,Implantação do SES - Bairros Perequê e Jardim Albamar,1/8/2010," R$ 5.471.800,00 ",Ação Preparatória
Saneamento,Guarujá,Sabesp,Implantação do SES - Conjunto Habitacional Morrinhos III,1/8/2010," R$ 6.787.300,00 ",Ação Preparatória
Saneamento,Guarujá,Sabesp,Implantação do SES - Conjunto Habitacional Porto Cidade - Vicente de Carvalho,1/8/2010," R$ 784.700,00 ",Em licitação da obra
Saneamento,Guarujá,Sabesp,"Implantação do SES - rede coletora e ligações de esgoto - bairros Vila Edna, Vila Zilda e Vila Selma",1/8/2010," R$ 5.636.100,00 ",Ação Preparatória
Saneamento,Guarulhos,Município,"Ampliação do SES - coleta, afastamento e transporte de esgotos das sub-bacias SB-08 e SB-09 - esgotamento sanitário em Guarulhos",fev/07," R$ 15.580.700,00 ",Em Obra
Saneamento,Guarulhos,Município,"Ampliação do SES - coleta, afastamento e transporte da vertente 2 da ETE São Miguel - esgotamento sanitário em Guarulhos",fev/07," R$ 16.305.700,00 ",Em Obra
Saneamento,Guarulhos,Município,"Ampliação do SES - coleta, afastamento e transporte da vertente 3 da ETE São Miguel - esgotamento sanitário em Guarulhos",fev/07," R$ 69.354.200,00 ",Em Obra
Saneamento,Guarulhos,Município,Ampliação do SES - Sistemas São João e Bonsucesso - esgotamento sanitário em Guarulhos,1/8/2010," R$ 125.564.100,00 ",Em Obra
Saneamento,Guarulhos,Município,Ampliação e melhorias das ETEs São João e Bonsucesso,set/09," R$ 94.440.900,00 ",Em Contratação
Saneamento,Guarulhos,Município,Desenvolvimento institucional - aumento da eficiência de planejamento e operação do sistema na sede municipal,fev/07," R$ 13.046.000,00 ",Em Execução
Saneamento,Guarulhos,Município,Desenvolvimento institucional - implantação de setorização no SAA na sede municipal,fev/07," R$ 45.418.000,00 ",Em Execução
Saneamento,Guarulhos,Município,Estudo de viabilidade de exploração de mananciais -SAA,fev/07," R$ 937.700,00 ",Concluída
Saneamento,Guarulhos,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 1.307.400,00 ",Ação Preparatória
Saneamento,Guarulhos,Estado,Saneamento integrado e urbanização - Bairro dos Pimentas,6/7/2010," R$ 65.507.700,00 ",Em Obra
Saneamento,Guarulhos,Município,Saneamento integrado e urbanização - centro expandido na sede municipal - Bairro Vila Nova Cumbica,6/7/2010," R$ 42.891.800,00 ",Em Obra
Saneamento,Guarulhos,Município,Saneamento integrado e urbanização - Cidade Satélite Industrial,6/7/2010," R$ 84.550.700,00 ",Em Obra
Saneamento,Guarulhos,Município,Saneamento integrado e urbanização - sede municipal - Vila Nova Cumbica,6/7/2010," R$ 12.601.400,00 ",Em Obra
Saneamento,Hortolândia,Sabesp,Ampliação do SAA - construção de reservatório no Bairro Santa Isabel e ampliação da ETA na sede,1/8/2010," R$ 6.000.000,00 ",Em licitação da obra
Saneamento,Hortolândia,Sabesp,"Ampliação do SES na sede municipal - coletores-tronco, redes coletoras e ligações prediais de esgoto",1/8/2010," R$ 19.700.000,00 ",Em licitação da obra
Saneamento,Hortolândia,Município,Construção e equipamentos para galpão de triagem para Catadores (M),ago/08," R$ 327.900,00 ",Ação Preparatória
Saneamento,Hortolândia,Município,Drenagem - construção de canais e reservatórios de amortecimento,6/9/2010," R$ 48.072.200,00 ",Ação Preparatória
Saneamento,Hortolândia,Município,Drenagem - obras de contenção e enchentes,fev/07," R$ 14.284.500,00 ",Em Obra
Saneamento,Hortolândia,Município,Saneamento integrado e urbanização - Jardim Boa Esperança,6/7/2010," R$ 11.768.900,00 ",Ação Preparatória
Saneamento,Hortolândia,Município,Saneamento integrado e urbanização - Jardim Primavera,6/7/2010," R$ 16.506.700,00 ",Em Obra
Saneamento,Ibiúna,Sabesp,Implantação do SES do Bairro Paruru,1/8/2010," R$ 8.400.000,00 ",Em licitação da obra
Saneamento,Indaiatuba,Município,Ampliação do SES - implantação da ETE Barnabé no Bairro Caldeira,fev/07," R$ 22.003.400,00 ",Em Obra
Saneamento,Indaiatuba,Município,Drenagem - execução de galeria de águas pluviais no Bairro Cidade Nova,fev/07," R$ 40.000.000,00 ",Em Obra
Saneamento,Itanhaém,Sabesp,Ampliação do SES na sede municipal - Sistema Sudoeste,set/09," R$ 187.567.300,00 ",Em Contratação
Saneamento,Itanhaém,Município,Construção e equipamentos para galpão de triagem para Catadores (M),ago/08," R$ 327.900,00 ",Em licitação da obra
Saneamento,Itanhaém,Município,Resíduos Sólidos - implantação de plano de gerenciamento de resíduos sólidos,1/8/2010," R$ 3.370.000,00 ",Ação Preparatória
Saneamento,Itanhaém,Sabesp,Saneamento integrado e urbanização - implantação de SAA e de SES para conjunto habitacional,1/8/2010," R$ 1.050.000,00 ",Ação Preparatória
Saneamento,Itapecerica da Serra,Município,Resíduos Sólidos - construção e equipamentos para galpões de triagem para catadores,ago/08," R$ 732.100,00 ",Ação Preparatória
Saneamento,Itapetininga,Sabesp,Ampliação do SAA - Vila Nastri e Vila Mesquita,1/8/2010," R$ 2.205.000,00 ",Em licitação da obra
Saneamento,Itapeva,Sabesp,Adequação e otimização da rede do SAA na sede municipal,1/8/2010," R$ 2.100.000,00 ",Em licitação da obra
Saneamento,Itapevi,Sabesp,Ampliação do SAA e fornecimento de boosters - Vila Iracema Jardim São Francisco e Amador Bueno,1/8/2010," R$ 5.600.000,00 ",Em Obra
Saneamento,Itapevi,Sabesp,Ampliação do SAA e fornecimento do booster - Getulio Vargas,1/8/2010," R$ 5.600.000,00 ",Em licitação da obra
Saneamento,Itapevi,Sabesp,Ampliação do SAA e fornecimento de booster - Vale do Sol,fev/07," R$ 1.779.700,00 ",Em Obra
Saneamento,Itapevi,Município,Drenagem - canalização do Córrego Paim,6/9/2010," R$ 33.995.800,00 ",Em Contratação
Saneamento,Itapevi,Município,Drenagem - canalização do Rio Barueri-Mirim,6/9/2010," R$ 43.999.500,00 ",Em Contratação
Saneamento,Itapevi,Município,Resíduos Sólidos - construção e equipamentos para galpões de triagem para catadores,ago/08," R$ 641.800,00 ",Ação Preparatória
Saneamento,Itapira,Município,"Adequação do SAA na sede municipal - construção de reservatório no Bairro dos Prados, serviços para redução de perdas físicas",1/8/2010," R$ 2.196.600,00 ",Em Obra
Saneamento,Itaquaquecetuba,Sabesp,"Ampliação do SES - ETEs Guatambu, Mandi e Piratininga",1/8/2010," R$ 27.132.000,00 ",Ação Preparatória
Saneamento,Itararé,Sabesp,"Ampliação do SES na sede municipal - Sub-bacias Vargas, Barros, Lavapés e Prata",fev/07," R$ 22.437.300,00 ",Em Obra
Saneamento,Itatiba,Sabesp,Ampliação do SAA - construção de reservatórios e reforço da rede de distribuição na sede municipal,1/8/2010," R$ 2.700.900,00 ",Em licitação da obra
Saneamento,Itatiba,Sabesp,Ampliação do SES - instalação de coletor-tronco - Distrito Industrial,1/8/2010," R$ 3.000.000,00 ",Em licitação da obra
Saneamento,Itatiba,Sabesp,Ampliação do SES com a instalação de coletor-tronco Filomena - córrego Filomena e coletor-tronco Jurema - Jardim das Nações,1/8/2010," R$ 800.000,00 ",Em Obra
Saneamento,Itatiba,Sabesp,"Implantação do SAA na sede municipal - captação, ETA, adução e reservatório",1/8/2010," R$ 21.698.000,00 ",Ação Preparatória
Saneamento,Jaboticabal,Município,Drenagem - canalização do Córrego Jaboticabal,fev/07," R$ 10.919.400,00 ",Em Obra
Saneamento,Jacareí,Município,Ampliação do SES no Vale do Córrego Turi - Bacia do Rio Paraíba do Sul,1/8/2010," R$ 85.250.000,00 ",Em Obra
Saneamento,Jacareí,Município,Elaboração do plano de saneamento básico,1/8/2010," R$ 325.000,00 ",Em Execução
Saneamento,Jandira,Sabesp,"Ampliação do SAA nos Bairros Nova Jandira, Sta. Tereza, Jd. Granja Alvorada, Jd. S. João, Nossa Sra. de Fátima, Gabriela, Stela Maris e Alvorada - redes de distribuição e boosters",1/8/2010," R$ 2.400.000,00 ",Em Obra
Saneamento,Jandira,Município,"Drenagem - execução de canalização e retificação de margens de rios, córregos e afluentes",6/9/2010," R$ 50.664.700,00 ",Em Contratação
Saneamento,Jundiaí,Município,Ampliação do SAA - complementação da represa do Rio Jundiaí-Mirim,fev/07," R$ 18.132.700,00 ",Em Obra
Saneamento,Jundiaí,Município,Drenagem - canalização de parte do Rio Jundiaí e construção de galeria de águas pluviais em diversos bairros,fev/07," R$ 65.281.700,00 ",Em Obra
Saneamento,Leme,Município,Ampliação do SAA - construção de adutora de água bruta,fev/07," R$ 4.066.300,00 ",Concluída
Saneamento,Leme,Município,"Ampliação do SES na sede municipal - interceptores, coletores-tronco, emissários, ETE",fev/07," R$ 18.487.700,00 ",Em Obra
Saneamento,Lençóis Paulista,Município,"Implantação de sistema de tratamento de esgotos - ETE, estação elevatória de esgotos, linha de recalque",fev/07," R$ 4.946.100,00 ",Em Obra
Saneamento,Limeira,Município,Resíduos Sólidos - adequação de aterro sanitário para recuperação de gases,1/8/2010," R$ 250.000,00 ",Ação Preparatória
Saneamento,Limeira,Município,Resíduos Sólidos - construções de unidades de transbordo para resíduos sólidos recicláveis,1/8/2010," R$ 750.000,00 ",Ação Preparatória
Saneamento,Limeira,Município,"Resíduos Sólidos - melhorias no aterro sanitário, alteamento, drenagem e tratamento de efluentes",1/8/2010," R$ 9.600.000,00 ",Ação Preparatória
Saneamento,Mairiporã,Sabesp,"Ampliação do SAA na sede municipal - ETA, adutoras de águas bruta e tratada e estação elevatória",1/8/2010," R$ 10.000.000,00 ",Ação Preparatória
Saneamento,Matão,Município,Drenagem - construção de represas de contenção de enchentes,fev/07," R$ 5.900.000,00 ",Concluída
Saneamento,Mauá,Sama,"Ampliação do SAA - centro de reservação, redes e ligações",set/09," R$ 8.488.400,00 ",Em Contratação
Saneamento,Mauá,Município,Elaboração de projetos em Mauá,7/7/2010," R$ 5.311.400,00 ",Concluída
Saneamento,Mauá,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 654.400,00 ",Ação Preparatória
Saneamento,Mogi das Cruzes,Município,"Ampliação do SES na sede municipal - redes, coletores-tronco, linhas de recalque e elevatória",fev/07," R$ 15.784.400,00 ",Em Obra
Saneamento,Mogi das Cruzes,Município,Drenagem - canalização dos córregos Lavapés e Canudos,fev/07," R$ 40.077.700,00 ",Em Obra
Saneamento,Mogi das Cruzes,Município,"Saneamento integrado e urbanização - Vila Nova União, Jardim Layr, Jardim Planalto e Jardim Aeroporto I, II e III",6/7/2010," R$ 19.372.300,00 ",Em Obra
